Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Abilene Police Dept,TX,12,     109147,         339,           5,          85,          94,         155,       5474,       1526,       3592,         356,         310.6,           4.6,          77.9,          86.1,         142.0,       5015.3,       1398.1,       3291.0,         326.2
Ada County Sheriff Department,ID,12,,         105,           1,           5,           9,          90,       1300,         396,         854,          50,,,,,,,,,
Aiken County Sheriff Department,SC,12,,         644,           8,          39,          41,         556,       2110,         880,       1059,         171,,,,,,,,,
Akron City Police Dept,OH,12,     230856,       1472,          19,         152,         491,         810,      14166,       3599,       9590,         977,         637.6,           8.2,          65.8,         212.7,         350.9,       6136.3,       1559.0,       4154.1,         423.2
Alameda County Sheriff Department,CA,12,,         496,          17,          27,         170,         282,       3348,       1205,       1825,         318,,,,,,,,,
Albemarle County Police Department,VA,12,,          66,           3,          10,          13,          40,       1405,         398,         944,          63,,,,,,,,,
Albuquerque Police Dept,NM,12,     356366,       3615,          28,         210,       1215,       2162,      27793,       8686,      17485,       1622,       1014.4,           7.9,          58.9,         340.9,         606.7,       7799.0,       2437.4,       4906.5,         455.2
Allentown City Police Dept,PA,12,     104460,         381,           4,          25,         214,         138,       5336,       1531,       3552,         253,         364.7,           3.8,          23.9,         204.9,         132.1,       5108.2,       1465.6,       3400.3,         242.2
Amarillo Police Dept,TX,12,     162573,         718,          22,          52,         164,         480,       9231,       2457,       6233,         541,         441.6,          13.5,          32.0,         100.9,         295.3,       5678.1,       1511.3,       3834.0,         332.8
Amherst Town Police Dept,NY,12,     102499,         224,           0,           5,          35,         184,       2309,         397,       1712,         200,         218.5,            .0,           4.9,          34.1,         179.5,       2252.7,         387.3,       1670.3,         195.1
Anaheim Police Dept,CA,12,     235610,       1231,          14,         105,         631,         481,      15838,       5018,       9398,       1422,         522.5,           5.9,          44.6,         267.8,         204.2,       6722.1,       2129.8,       3988.8,         603.5
Anderson County Sheriff Department,SC,12,,         357,          10,          27,          46,         274,       3737,       1358,       2168,         211,,,,,,,,,
Ann Arbor Police Dept,MI,12,     104413,         586,           1,          51,          96,         438,       9052,       1990,       6646,         416,         561.2,           1.0,          48.8,          91.9,         419.5,       8669.4,       1905.9,       6365.1,         398.4
Anne Arundel County Police Department,MD,12,,         923,          11,          74,         243,         595,      11612,       3415,       7533,         664,,,,,,,,,
Antioch Police Dept,CA,12,      47154,         168,           3,          11,          50,         104,       3036,         833,       2019,         184,         356.3,           6.4,          23.3,         106.0,         220.6,       6438.5,       1766.6,       4281.7,         390.2
Arlington Police Dept,TX,12,     191475,         765,          13,          93,         200,         459,      14019,       3041,       9654,       1324,         399.5,           6.8,          48.6,         104.5,         239.7,       7321.6,       1588.2,       5041.9,         691.5
Arvada Police Dept,CO,12,      91735,         217,           1,          12,          31,         173,       3003,         881,       1962,         160,         236.6,           1.1,          13.1,          33.8,         188.6,       3273.6,         960.4,       2138.8,         174.4
Athens-Clarke County Police Department,GA,12,      44344,         292,           3,          27,          42,         220,       2577,         712,       1752,         113,         658.5,           6.8,          60.9,          94.7,         496.1,       5811.4,       1605.6,       3950.9,         254.8
Atlanta Police Dept,GA,12,     442951,      10525,         135,         632,       4029,       5729,      38107,      10813,      24110,       3184,       2376.1,          30.5,         142.7,         909.6,       1293.4,       8603.0,       2441.1,       5443.0,         718.8
