Year,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1984, FL, 12, ,          221,            4,           25,           32,          160,        2075,          525,        1448,          102, , , , , , , , , 
1985, FL, 12, ,          308,            3,           10,           34,          261,        2089,          561,        1433,           95, , , , , , , , , 
1986, FL, 12, ,          422,            3,           14,           37,          368,        3092,          723,        2224,          145, , , , , , , , , 
1987, FL, 12, ,          366,            3,            8,           56,          299,        3729,          791,        2744,          194, , , , , , , , , 
1989, FL, 12, ,          302,            0,           15,           50,          237,        3135,          919,        1957,          259, , , , , , , , , 
1990, FL, 12, ,          509,            1,           24,           68,          416,        3634,        1067,        2260,          307, , , , , , , , , 
1991, FL, 12, ,          489,            5,           34,           40,          410,        3621,          920,        2483,          218, , , , , , , , , 
1992, FL, 12, ,          622,            3,           76,           52,          491,        3899,          948,        2674,          277, , , , , , , , , 
1993, FL, 12, ,          590,            7,           58,           43,          482,        3546,          790,        2568,          188, , , , , , , , , 
1994, FL, 12, ,          557,            6,           55,           47,          449,        3629,          656,        2693,          280, , , , , , , , , 
1995, FL, 12, ,          567,            1,           63,           45,          458,        3419,          512,        2667,          240, , , , , , , , , 
1997, FL, 12, ,          671,            2,           88,           51,          530,        3436,          614,        2636,          186, , , , , , , , , 
1998, FL, 12, ,          507,            3,           41,           44,          419,        3778,          506,        3054,          218, , , , , , , , , 
1999, FL, 12, ,          386,            2,           51,           36,          297,        3743,          388,        3132,          223, , , , , , , , , 
2000, FL, 12, ,          445,            4,           31,           53,          357,        4232,          403,        3655,          174, , , , , , , , , 
2001, FL, 12, ,          589,            2,           52,           58,          477,        4099,          592,        3285,          222, , , , , , , , , 
2002, FL, 12, ,          523,            2,           37,           61,          423,        3431,          693,        2526,          212, , , , , , , , , 
2003, FL, 12, ,          431,            3,           37,           61,          330,        2774,          605,        1955,          214, , , , , , , , , 
2004, FL, 12, ,          522,            6,           39,           46,          431,        3076,          701,        2124,          251, , , , , , , , , 
2005, FL, 12, ,          703,            5,           57,           55,          586,        3633,          873,        2449,          311, , , , , , , , , 
2006, FL, 12, ,          693,            7,           59,           83,          544,        4031,          877,        2895,          259, , , , , , , , , 
2007, FL, 12, ,          819,            5,           48,          100,          666,        4161,          920,        2953,          288, , , , , , , , , 
2008, FL, 12, ,          819,            5,           51,           90,          673,        4576,        1058,        3281,          237, , , , , , , , , 
2009, FL, 12, ,          799,           12,           44,          102,          641,        4127,          933,        3025,          169, , , , , , , , , 
2010, FL, 12, ,          710,            9,           52,           99,          550,        3918,          793,        2991,          134, , , , , , , , , 
2011, FL, 12, ,          665,            5,           32,           94,          534,        4269,          883,        3245,          141, , , , , , , , , 
2012, FL, 12, ,          684,            5,           33,           71,          575,        3806,          732,        2959,          115, , , , , , , , , 
