Year,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1984, FL, 12, ,          405,           17,           41,          101,          246,        3922,        1294,        2375,          253, , , , , , , , , 
1985, FL, 12, ,          360,           22,           37,           76,          225,        4532,        1567,        2666,          299, , , , , , , , , 
1986, FL, 12, ,          564,           11,           57,          151,          345,        5213,        1812,        3089,          312, , , , , , , , , 
1987, FL, 12, ,          622,           15,           54,          150,          403,        6166,        2232,        3572,          362, , , , , , , , , 
1989, FL, 12, ,          832,           14,           77,          199,          542,        7261,        2415,        4464,          382, , , , , , , , , 
1990, FL, 12, ,        1063,           17,          104,          196,          746,        7006,        2510,        3998,          498, , , , , , , , , 
1991, FL, 12, ,        1199,           12,          148,          193,          846,        6707,        2146,        4079,          482, , , , , , , , , 
1992, FL, 12, ,        1149,            6,          134,          208,          801,        6753,        2212,        3996,          545, , , , , , , , , 
1993, FL, 12, ,        1181,           11,          100,          267,          803,        6805,        2204,        3923,          678, , , , , , , , , 
1994, FL, 12, ,        1106,           13,           96,          246,          751,        7078,        2442,        4037,          599, , , , , , , , , 
1995, FL, 12, ,        1180,           18,           86,          219,          857,        7586,        2257,        4698,          631, , , , , , , , , 
1996, FL, 12, ,        1244,            4,           85,          282,          873,        9082,        2485,        5921,          676, , , , , , , , , 
1997, FL, 12, ,        1242,           16,          114,          207,          905,        8439,        2335,        5664,          440, , , , , , , , , 
1998, FL, 12, ,        1109,            4,           89,          183,          833,        8132,        2044,        5396,          692, , , , , , , , , 
1999, FL, 12, ,        1258,            7,          100,          196,          955,        7554,        2085,        4931,          538, , , , , , , , , 
2000, FL, 12, ,        1289,           13,          110,          192,          974,        7220,        1970,        4755,          495, , , , , , , , , 
2001, FL, 12, ,        1278,            9,           75,          242,          952,        7538,        2081,        4951,          506, , , , , , , , , 
2002, FL, 12, ,        1323,            7,           83,          258,          975,        7024,        1969,        4603,          452, , , , , , , , , 
2003, FL, 12, ,        1367,           10,          101,          220,        1036,        6451,        1751,        4285,          415, , , , , , , , , 
2004, FL, 12, ,        1252,           14,           89,          203,          946,        5632,        1355,        3912,          365, , , , , , , , , 
2005, FL, 12, ,        1279,            9,           89,          214,          967,        5442,        1274,        3766,          402, , , , , , , , , 
2006, FL, 12, ,        1308,            6,           75,          281,          946,        5132,        1302,        3496,          334, , , , , , , , , 
2007, FL, 12, ,        1297,           15,           58,          233,          991,        5063,        1337,        3361,          365, , , , , , , , , 
2008, FL, 12, ,        1110,            6,           53,          224,          827,        5154,        1258,        3590,          306, , , , , , , , , 
2009, FL, 12, ,        1000,           14,           49,          188,          749,        4971,        1191,        3566,          214, , , , , , , , , 
2010, FL, 12, ,          977,           10,           50,          195,          722,        4947,        1090,        3675,          182, , , , , , , , , 
2011, FL, 12, ,          956,            9,           42,          208,          697,        5250,        1373,        3683,          194, , , , , , , , , 
2012, FL, 12, ,          785,            6,           39,          146,          594,        4776,        1224,        3322,          230, , , , , , , , , 
