Year,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1984, OR, 12,      103734,          408,            4,           59,          144,          201,        8332,        1954,        6076,          302,          393.3,            3.9,           56.9,          138.8,          193.8,        8032.1,        1883.7,        5857.3,          291.1
1985, OR, 12,      102077,          377,            1,           41,          122,          213,        8215,        2076,        5749,          390,          369.3,            1.0,           40.2,          119.5,          208.7,        8047.8,        2033.8,        5632.0,          382.1
1986, OR, 12,      102502,          332,            8,           29,          142,          153,        8317,        2185,        5720,          412,          323.9,            7.8,           28.3,          138.5,          149.3,        8114.0,        2131.7,        5580.4,          401.9
1987, OR, 12,      106430,          378,            3,           48,          161,          166,       10041,        2459,        7035,          547,          355.2,            2.8,           45.1,          151.3,          156.0,        9434.4,        2310.4,        6610.0,          514.0
1988, OR, 12,      106684,          361,            1,           44,          166,          150,        8531,        1916,        6175,          440,          338.4,             .9,           41.2,          155.6,          140.6,        7996.5,        1796.0,        5788.1,          412.4
1989, OR, 12,      110119,          403,            3,           48,          168,          184,        9309,        1582,        7297,          430,          366.0,            2.7,           43.6,          152.6,          167.1,        8453.6,        1436.6,        6626.5,          390.5
1990, OR, 12,      112669,          463,            1,           76,          197,          189,        8563,        1530,        6624,          409,          410.9,             .9,           67.5,          174.8,          167.7,        7600.1,        1358.0,        5879.2,          363.0
1991, OR, 12,      115827,          379,            0,           59,          186,          134,        8673,        1629,        6630,          414,          327.2,             .0,           50.9,          160.6,          115.7,        7487.9,        1406.4,        5724.1,          357.4
1992, OR, 12,      118006,          487,            2,           57,          228,          200,        8912,        1799,        6697,          416,          412.7,            1.7,           48.3,          193.2,          169.5,        7552.2,        1524.5,        5675.1,          352.5
1993, OR, 12,      118390,          470,            3,           64,          166,          237,        8227,        1381,        6471,          375,          397.0,            2.5,           54.1,          140.2,          200.2,        6949.1,        1166.5,        5465.8,          316.7
