Year,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1984, FL, 12, ,          146,            5,           28,           46,           67,        1742,          517,        1079,          146, , , , , , , , , 
1985, FL, 12, ,          130,            3,           13,           36,           78,        2456,          770,        1546,          140, , , , , , , , , 
1986, FL, 12, ,          159,            4,           23,           37,           95,        2481,          652,        1690,          139, , , , , , , , , 
1987, FL, 12, ,          177,            5,           23,           50,           99,        2520,          630,        1767,          123, , , , , , , , , 
1989, FL, 12, ,          264,            2,           10,           44,          208,        3095,          773,        2157,          165, , , , , , , , , 
1990, FL, 11, ,          247,            2,            7,           37,          201,        2916,          682,        2073,          161, , , , , , , , , 
1991, FL, 12, ,          304,            2,            3,           52,          247,        3178,          800,        2231,          147, , , , , , , , , 
1992, FL, 12, ,          377,            2,            9,           68,          298,        3128,          744,        2243,          141, , , , , , , , , 
1993, FL, 12, ,          371,            5,           19,           53,          294,        3319,          756,        2376,          187, , , , , , , , , 
1994, FL, 12, ,          378,            5,           22,           45,          306,        3214,          721,        2342,          151, , , , , , , , , 
1995, FL, 12, ,          329,            2,           23,           50,          254,        3082,          700,        2245,          137, , , , , , , , , 
1997, FL, 12, ,          581,            4,           34,           41,          502,        3815,        1578,        2043,          194, , , , , , , , , 
1998, FL, 12, ,          644,            8,           61,           60,          515,        3299,        1557,        1573,          169, , , , , , , , , 
1999, FL, 12, ,          314,            3,           39,           50,          222,        2578,        1085,        1414,           79, , , , , , , , , 
2000, FL, 12, ,          377,            1,           63,           60,          253,        2567,          569,        1805,          193, , , , , , , , , 
2001, FL, 12, ,          381,            4,           41,           66,          270,        3265,          577,        2540,          148, , , , , , , , , 
2002, FL, 12, ,          408,            4,           33,           74,          297,        3272,          645,        2436,          191, , , , , , , , , 
2003, FL, 12, ,          393,            3,           27,           82,          281,        3288,          653,        2432,          203, , , , , , , , , 
2004, FL, 12, ,          395,            2,           27,           59,          307,        3318,          728,        2369,          221, , , , , , , , , 
2005, FL, 12, ,          388,            2,           23,           61,          302,        3559,          754,        2545,          260, , , , , , , , , 
2006, FL, 12, ,          438,            3,           29,           52,          354,        3511,          752,        2474,          285, , , , , , , , , 
2007, FL, 12, ,          465,            1,           32,           94,          338,        3798,          863,        2706,          229, , , , , , , , , 
2008, FL, 12, ,          462,            3,           29,           91,          339,        3769,          767,        2799,          203, , , , , , , , , 
2009, FL, 12, ,          290,            3,           28,           76,          183,        3477,          723,        2582,          172, , , , , , , , , 
2010, FL, 12, ,          454,            1,           30,           77,          346,        3365,          756,        2472,          137, , , , , , , , , 
2011, FL, 12, ,          557,            1,           38,           69,          449,        3346,          637,        2569,          140, , , , , , , , , 
2012, FL, 12, ,          643,            0,           52,           60,          531,        3062,          577,        2359,          126, , , , , , , , , 
