Year,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1984, CA, 12, ,          738,            9,           62,          199,          468,        9424,        3285,        5427,          712, , , , , , , , , 
1984, FL, 12, ,        2203,           12,          107,          460,        1624,       16668,        5793,        9722,        1153, , , , , , , , , 
1985, CA, 12, ,          602,            6,           53,          161,          382,       10082,        3547,        5862,          673, , , , , , , , , 
1985, FL, 12, ,        2341,           33,          126,          538,        1644,       19467,        6066,       12144,        1257, , , , , , , , , 
1986, CA, 12, ,          806,            5,           53,          192,          556,       10652,        3737,        6015,          900, , , , , , , , , 
1986, FL, 12, ,        2897,           22,          137,          836,        1902,       22191,        6623,       14062,        1506, , , , , , , , , 
1987, CA, 12, ,          817,            7,           66,          160,          584,       10051,        3264,        5883,          904, , , , , , , , , 
1987, FL, 12, ,        2258,           27,          139,          716,        1376,       23694,        8351,       13555,        1788, , , , , , , , , 
1988, CA, 12, ,          830,           10,           51,          203,          566,       10331,        2829,        6477,        1025, , , , , , , , , 
1989, CA, 12, ,          762,            8,           45,          132,          577,        7543,        2162,        4405,          976, , , , , , , , , 
1989, FL, 12, ,        3527,           29,          188,        1039,        2271,       29543,       10290,       16186,        3067, , , , , , , , , 
1990, CA, 12, ,          806,           12,           42,          149,          603,        6996,        1850,        4199,          947, , , , , , , , , 
1990, FL, 12, ,        4302,           30,          169,        1183,        2920,       29925,        9585,       17235,        3105, , , , , , , , , 
1991, CA, 12, ,          828,            9,           57,          165,          597,        7593,        2192,        4456,          945, , , , , , , , , 
1991, FL, 12, ,        4520,           17,          240,        1251,        3012,       30302,        8837,       18425,        3040, , , , , , , , , 
1992, CA, 12, ,          554,            8,           20,          106,          420,        3946,        1141,        2212,          593, , , , , , , , , 
1992, FL, 12, ,        5064,           20,          232,        1253,        3559,       30439,        8510,       18406,        3523, , , , , , , , , 
1993, CA, 12, ,          628,            8,           24,          118,          478,        4057,        1118,        2246,          693, , , , , , , , , 
1993, FL, 12, ,        5379,           19,          241,        1161,        3958,       30066,        8719,       17992,        3355, , , , , , , , , 
1994, CA, 12, ,          630,            6,           28,          106,          490,        3554,          954,        2075,          525, , , , , , , , , 
1994, FL, 12, ,        5651,           25,          242,        1381,        4003,       33421,        8338,       21398,        3685, , , , , , , , , 
1995, CA, 12, ,          622,            5,           34,           77,          506,        3397,          886,        2011,          500, , , , , , , , , 
1995, FL, 11, ,        4949,           28,          201,        1235,        3485,       30211,        7161,       19837,        3213, , , , , , , , , 
1996, CA, 12, ,          539,            9,           13,           77,          440,        2996,          845,        1796,          355, , , , , , , , , 
1996, FL, 12, ,        6153,           34,          272,        1964,        3883,       36925,        8700,       24454,        3771, , , , , , , , , 
