Year,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1984, FL, 12,       43748,          149,            3,            3,           45,           98,        1212,          354,          788,           70,          340.6,            6.9,            6.9,          102.9,          224.0,        2770.4,          809.2,        1801.2,          160.0
1985, FL, 12,       45305,          208,            6,            7,           56,          139,        1770,          387,        1270,          113,          459.1,           13.2,           15.5,          123.6,          306.8,        3906.9,          854.2,        2803.2,          249.4
1986, FL, 12,       45952,          187,            3,            4,           60,          120,        2289,          533,        1614,          142,          406.9,            6.5,            8.7,          130.6,          261.1,        4981.3,        1159.9,        3512.4,          309.0
1987, FL, 12,       50626,          210,            7,            6,           49,          148,        2592,          754,        1627,          211,          414.8,           13.8,           11.9,           96.8,          292.3,        5119.9,        1489.4,        3213.8,          416.8
1989, FL, 12,       57576,          204,            4,            7,           85,          108,        2853,          704,        1870,          279,          354.3,            6.9,           12.2,          147.6,          187.6,        4955.2,        1222.7,        3247.9,          484.6
1990, FL, 10,       65452,          125,            1,            7,           59,           58,        2331,          578,        1510,          243, , , , , , , , , 
1991, FL, 6,       67167,           87,            0,            4,           31,           52,        1500,          331,        1006,          163, , , , , , , , , 
1992, FL, 12,       68234,          209,            1,           10,           83,          115,        3134,          627,        2201,          306,          306.3,            1.5,           14.7,          121.6,          168.5,        4593.0,          918.9,        3225.7,          448.5
1993, FL, 12,       71829,          253,            0,           11,          103,          139,        4292,          651,        3193,          448,          352.2,             .0,           15.3,          143.4,          193.5,        5975.3,          906.3,        4445.3,          623.7
1994, FL, 12,       73267,          246,            0,           19,          102,          125,        4472,          577,        3334,          561,          335.8,             .0,           25.9,          139.2,          170.6,        6103.7,          787.5,        4550.5,          765.7
1995, FL, 12,       82742,          216,            0,            7,          122,           87,        4286,          495,        3341,          450,          261.1,             .0,            8.5,          147.4,          105.1,        5180.0,          598.2,        4037.9,          543.9
1997, FL, 12,       85591,          335,            1,           14,          104,          216,        4459,          821,        3123,          515,          391.4,            1.2,           16.4,          121.5,          252.4,        5209.7,          959.2,        3648.7,          601.7
1998, FL, 12,      104611,          295,            2,           12,           78,          203,        3994,          748,        2809,          437,          282.0,            1.9,           11.5,           74.6,          194.1,        3818.0,          715.0,        2685.2,          417.7
1999, FL, 12,      116871,          290,            0,           31,           73,          186,        4083,          686,        2794,          603,          248.1,             .0,           26.5,           62.5,          159.1,        3493.6,          587.0,        2390.7,          516.0
2000, FL, 12,      137427,          402,            2,           25,           94,          281,        3451,          614,        2281,          556,          292.5,            1.5,           18.2,           68.4,          204.5,        2511.2,          446.8,        1659.8,          404.6
2001, FL, 12,      140988,          350,            3,           14,          130,          203,        4729,          620,        3470,          639,          248.2,            2.1,            9.9,           92.2,          144.0,        3354.2,          439.8,        2461.2,          453.2
2002, FL, 12,      143711,          378,            3,           20,          121,          234,        4373,          675,        3091,          607,          263.0,            2.1,           13.9,           84.2,          162.8,        3042.9,          469.7,        2150.8,          422.4
2003, FL, 12,      149321,          394,            0,           23,          132,          239,        4420,          618,        3291,          511,          263.9,             .0,           15.4,           88.4,          160.1,        2960.1,          413.9,        2204.0,          342.2
2004, FL, 12,      152236,          401,            1,           23,          113,          264,        4318,          619,        3221,          478,          263.4,             .7,           15.1,           74.2,          173.4,        2836.4,          406.6,        2115.8,          314.0
2005, FL, 12,      153492,          353,            6,           25,           95,          227,        4471,          743,        3295,          433,          230.0,            3.9,           16.3,           61.9,          147.9,        2912.9,          484.1,        2146.7,          282.1
2006, FL, 12,      152916,          363,            1,           15,          134,          213,        4886,          831,        3581,          474,          237.4,             .7,            9.8,           87.6,          139.3,        3195.2,          543.4,        2341.8,          310.0
2007, FL, 12,      151817,          390,            0,           16,          146,          228,        5343,          827,        4100,          416,          256.9,             .0,           10.5,           96.2,          150.2,        3519.4,          544.7,        2700.6,          274.0
2008, FL, 12,      146108,          400,            3,           15,          151,          231,        5817,          917,        4511,          389,          273.8,            2.1,           10.3,          103.3,          158.1,        3981.3,          627.6,        3087.4,          266.2
2009, FL, 12,      145514,          300,            4,           10,          101,          185,        5386,        1091,        3954,          341,          206.2,            2.7,            6.9,           69.4,          127.1,        3701.4,          749.8,        2717.3,          234.3
2010, FL, 12,      154750,          276,            4,           12,           92,          168,        5026,        1102,        3619,          305,          178.4,            2.6,            7.8,           59.5,          108.6,        3247.8,          712.1,        2338.6,          197.1
2011, FL, 12,      156859,          310,            4,           28,          119,          159,        4944,        1059,        3591,          294,          197.6,            2.6,           17.9,           75.9,          101.4,        3151.9,          675.1,        2289.3,          187.4
2012, FL, 12,      159744,          238,            2,           14,           83,          139,        4238,          846,        3175,          217,          149.0,            1.3,            8.8,           52.0,           87.0,        2653.0,          529.6,        1987.6,          135.8
