Year,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1984, FL, 12, ,          922,            7,           77,          106,          732,        8393,        2917,        4962,          514, , , , , , , , , 
1985, FL, 12, ,          890,           13,           52,          169,          656,        9366,        3277,        5489,          600, , , , , , , , , 
1986, FL, 12, ,          884,            7,           57,          141,          679,       10860,        3992,        6227,          641, , , , , , , , , 
1987, FL, 12, ,          987,            8,           76,          194,          709,       11683,        3687,        7278,          718, , , , , , , , , 
1989, FL, 12, ,        1156,            9,           89,          260,          798,       11503,        3013,        7808,          682, , , , , , , , , 
1990, FL, 12, ,        1411,            4,           22,          198,        1187,       11397,        3124,        7657,          616, , , , , , , , , 
1991, FL, 12, ,        1370,            7,          132,          212,        1019,       12833,        3327,        8771,          735, , , , , , , , , 
1992, FL, 12, ,        1599,           12,          167,          209,        1211,       12703,        3244,        8707,          752, , , , , , , , , 
1993, FL, 12, ,        1644,           10,          121,          182,        1331,       11758,        2878,        8214,          666, , , , , , , , , 
1994, FL, 12, ,        1571,            5,          101,          201,        1264,       12806,        3161,        8797,          848, , , , , , , , , 
1995, FL, 12, ,        1460,            8,          103,          205,        1144,       11494,        2537,        8283,          674, , , , , , , , , 
1997, FL, 12, ,        1385,            6,          100,          163,        1116,       10981,        2379,        7953,          649, , , , , , , , , 
1998, FL, 12, ,        1252,           12,          107,          187,          946,       11166,        2522,        7768,          876, , , , , , , , , 
1999, FL, 12, ,        1173,            6,          107,          155,          905,        9876,        2385,        6719,          772, , , , , , , , , 
2000, FL, 12, ,        1271,            4,          125,          201,          941,        9570,        2105,        6753,          712, , , , , , , , , 
2001, FL, 12, ,        1377,            7,          134,          226,        1010,        9254,        2342,        6202,          710, , , , , , , , , 
2002, FL, 12, ,        1208,            7,          147,          188,          866,        8927,        2158,        6088,          681, , , , , , , , , 
2003, FL, 12, ,        1138,            7,          167,          154,          810,        8512,        2139,        5698,          675, , , , , , , , , 
2004, FL, 12, ,        1051,            3,          121,          155,          772,        8200,        1868,        5604,          728, , , , , , , , , 
2005, FL, 12, ,        1130,            5,          126,          139,          860,        7643,        1883,        5103,          657, , , , , , , , , 
2006, FL, 12, ,        1259,            6,          168,          154,          931,        7545,        1800,        5082,          663, , , , , , , , , 
2007, FL, 12, ,        1305,           10,          135,          228,          932,        7607,        1981,        5007,          619, , , , , , , , , 
2008, FL, 12, ,        1271,            8,          126,          245,          892,        8386,        2077,        5831,          478, , , , , , , , , 
2009, FL, 12, ,        1149,            9,           95,          210,          835,        7725,        1868,        5404,          453, , , , , , , , , 
2010, FL, 12, ,        1119,           11,          124,          227,          757,        7609,        1847,        5416,          346, , , , , , , , , 
2011, FL, 12, ,        1018,            8,          121,          164,          725,        7019,        1817,        4887,          315, , , , , , , , , 
2012, FL, 12, ,          926,           12,           94,          143,          677,        6040,        1535,        4239,          266, , , , , , , , , 
