Year,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1984, FL, 12, ,          394,           13,           65,           69,          247,        4047,        1833,        1975,          239, , , , , , , , , 
1985, FL, 12, ,          427,            7,           61,           71,          288,        4429,        1919,        2239,          271, , , , , , , , , 
1986, FL, 12, ,          464,           15,           61,          101,          287,        4738,        2181,        2297,          260, , , , , , , , , 
1987, FL, 12, ,          494,           10,           44,          112,          328,        4950,        2242,        2402,          306, , , , , , , , , 
1989, FL, 12, ,          622,           16,           83,          137,          386,        5535,        2423,        2755,          357, , , , , , , , , 
1990, FL, 11, ,          624,            8,           63,          105,          448,        4593,        1926,        2371,          296, , , , , , , , , 
1991, FL, 12, ,          994,            8,           78,          198,          710,        7180,        2831,        3878,          471, , , , , , , , , 
1992, FL, 12, ,          894,           12,           84,          122,          676,        5487,        2093,        3055,          339, , , , , , , , , 
1993, FL, 11, ,          806,            2,           72,           72,          660,        5383,        2109,        2861,          413, , , , , , , , , 
1994, FL, 12, ,          909,           10,           64,           92,          743,        5539,        2161,        2923,          455, , , , , , , , , 
1995, FL, 11, ,          924,            2,           79,           74,          769,        4973,        1927,        2613,          433, , , , , , , , , 
1997, FL, 12, ,        1029,            6,           88,          101,          834,        5946,        2099,        3313,          534, , , , , , , , , 
1998, FL, 12, ,        1116,            3,           96,           97,          920,        5915,        1923,        3422,          570, , , , , , , , , 
1999, FL, 12, ,        1192,            8,           73,          101,        1010,        5267,        1585,        3154,          528, , , , , , , , , 
2000, FL, 12, ,        1279,            5,          102,           79,        1093,        4924,        1541,        2935,          448, , , , , , , , , 
2001, FL, 12, ,        1281,            7,           94,          112,        1068,        5041,        1597,        3013,          431, , , , , , , , , 
2002, FL, 12, ,        1243,            6,          106,           88,        1043,        5251,        1667,        3114,          470, , , , , , , , , 
2003, FL, 12, ,        1052,            8,          104,          115,          825,        4918,        1324,        3012,          582, , , , , , , , , 
2004, FL, 12, ,        1018,           10,           56,          100,          852,        5016,        1233,        3228,          555, , , , , , , , , 
2005, FL, 12, ,          935,           13,           78,          100,          744,        4903,        1326,        3069,          508, , , , , , , , , 
2006, FL, 12, ,          872,            4,           71,          110,          687,        5129,        1624,        2925,          580, , , , , , , , , 
2007, FL, 12, ,          943,            5,           75,          171,          692,        5632,        1802,        3225,          605, , , , , , , , , 
2008, FL, 12, ,        1044,            4,           88,          152,          800,        5906,        1945,        3474,          487, , , , , , , , , 
2009, FL, 12, ,          848,            7,           68,          176,          597,        5813,        1830,        3518,          465, , , , , , , , , 
2010, FL, 12, ,          931,           11,           72,           99,          749,        5335,        1765,        3184,          386, , , , , , , , , 
2011, FL, 12, ,          714,           10,           51,          104,          549,        5528,        1878,        3362,          288, , , , , , , , , 
2012, FL, 12, ,          780,            8,           52,          111,          609,        5210,        1687,        3199,          324, , , , , , , , , 
