Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Abilene Police Dept,TX,12,     117016,         517,           6,          71,         129,         311,       6107,       1814,       3991,         302,         441.8,           5.1,          60.7,         110.2,         265.8,       5218.9,       1550.2,       3410.6,         258.1
Ada County Sheriff Department,ID,12,,         110,           2,          15,           3,          90,       1646,         386,       1174,          86,,,,,,,,,
Aiken County Sheriff Department,SC,12,,         363,           5,          66,          67,         225,       2763,         884,       1580,         299,,,,,,,,,
Akron City Police Dept,OH,12,     214622,       1303,          16,         216,         624,         447,      12355,       3209,       7922,       1224,         607.1,           7.5,         100.6,         290.7,         208.3,       5756.6,       1495.2,       3691.1,         570.3
Alachua County Sheriff Department,FL,12,,         861,           2,          50,          88,         721,       3871,       1160,       2409,         302,,,,,,,,,
Alameda County Sheriff Department,CA,12,,         513,           8,          49,         182,         274,       3366,         760,       1827,         779,,,,,,,,,
Albemarle County Police Department,VA,12,,         131,           5,          35,          18,          73,       1790,         248,       1454,          88,,,,,,,,,
Albuquerque Police Dept,NM,12,     468764,       4439,          51,         263,       1080,       3045,      29294,       5543,      19663,       4088,         947.0,          10.9,          56.1,         230.4,         649.6,       6249.2,       1182.5,       4194.6,         872.1
Alexandria Police Dept,VA,12,     132468,         406,           3,          25,         169,         209,       4306,         429,       3264,         613,         306.5,           2.3,          18.9,         127.6,         157.8,       3250.6,         323.9,       2464.0,         462.8
Allentown City Police Dept,PA,12,     106366,         641,          12,          51,         359,         219,       5654,       1111,       3851,         692,         602.6,          11.3,          47.9,         337.5,         205.9,       5315.6,       1044.5,       3620.5,         650.6
Amarillo Police Dept,TX,12,     179762,       1496,          17,          93,         377,       1009,      11612,       2201,       8514,         897,         832.2,           9.5,          51.7,         209.7,         561.3,       6459.7,       1224.4,       4736.3,         499.0
Amherst Town Police Dept,NY,12,     111945,         120,           1,           5,          40,          74,       1977,         176,       1735,          66,         107.2,            .9,           4.5,          35.7,          66.1,       1766.0,         157.2,       1549.9,          59.0
Anaheim Police Dept,CA,12,     336132,       1319,           9,          76,         410,         824,      10446,       1971,       6708,       1767,         392.4,           2.7,          22.6,         122.0,         245.1,       3107.7,         586.4,       1995.6,         525.7
Anchorage Police Dept,AK,12,     271085,       1744,          17,         244,         340,       1143,      11706,       1418,       9091,       1197,         643.3,           6.3,          90.0,         125.4,         421.6,       4318.2,         523.1,       3353.6,         441.6
Anderson County Sheriff Department,SC,12,,         874,           3,          52,          98,         721,       6035,       1642,       3903,         490,,,,,,,,,
Ann Arbor Police Dept,MI,12,     115552,         299,           1,          23,          92,         183,       3330,         754,       2357,         219,         258.8,            .9,          19.9,          79.6,         158.4,       2881.8,         652.5,       2039.8,         189.5
Anne Arundel County Police Department,MD,12,,       3097,          19,          76,         610,       2392,      15573,       2698,      11647,       1228,,,,,,,,,
Antioch Police Dept,CA,12,     100918,         714,           6,          15,         223,         470,       2896,         626,       1354,         916,         707.5,           5.9,          14.9,         221.0,         465.7,       2869.7,         620.3,       1341.7,         907.7
