Year,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1984, CO, 12,      191159,        1822,           13,           95,          317,        1397,       12914,        3451,        8636,          827,          953.1,            6.8,           49.7,          165.8,          730.8,        6755.6,        1805.3,        4517.7,          432.6
1984, IL, 12,       82319,          510,            9,           42,          176,          283,        4914,        1490,        3211,          213,          619.5,           10.9,           51.0,          213.8,          343.8,        5969.5,        1810.0,        3900.7,          258.7
1985, CO, 12,      198033,        2250,           10,           89,          434,        1717,       14656,        3961,        9737,          958,        1136.2,            5.0,           44.9,          219.2,          867.0,        7400.8,        2000.2,        4916.9,          483.8
1985, IL, 12,       82494, ,            4, ,          169,          324,        4695,        1404,        3061,          230, ,            4.8, ,          204.9,          392.8,        5691.3,        1701.9,        3710.6,          278.8
1986, CO, 12,      200189,        2868,           11,          120,          580,        2157,       14846,        4110,        9574,        1162,        1432.6,            5.5,           59.9,          289.7,        1077.5,        7416.0,        2053.1,        4782.5,          580.5
1986, IL, 12,       86040, ,            9, ,          172,          307,        5174,        1541,        3387,          246, ,           10.5, ,          199.9,          356.8,        6013.5,        1791.0,        3936.5,          285.9
1987, CO, 12,      219945,        2700,           20,          118,          524,        2038,       15320,        3998,       10100,        1222,        1227.6,            9.1,           53.6,          238.2,          926.6,        6965.4,        1817.7,        4592.1,          555.6
1987, IL, 12,       85600, ,            1, ,          174,          325,        5510,        1617,        3627,          266, ,            1.2, ,          203.3,          379.7,        6436.9,        1889.0,        4237.1,          310.7
1988, CO, 12,      219404,        2625,           15,          127,          462,        2021,       14619,        3495,        9975,        1149,        1196.4,            6.8,           57.9,          210.6,          921.1,        6663.1,        1593.0,        4546.4,          523.7
1988, IL, 12,       88994, ,           12, ,          196,          417,        6395,        1766,        4333,          296, ,           13.5, ,          220.2,          468.6,        7185.9,        1984.4,        4868.9,          332.6
1989, CO, 12,      219780,        2859,            7,          120,          378,        2354,       14424,        2967,       10237,        1220,        1300.8,            3.2,           54.6,          172.0,        1071.1,        6562.9,        1350.0,        4657.8,          555.1
1989, IL, 12,       91479, ,            9, ,          193,          427,        6209,        1429,        4438,          342, ,            9.8, ,          211.0,          466.8,        6787.4,        1562.1,        4851.4,          373.9
1990, CO, 12,      222103,        3191,            8,          170,          397,        2616,       14643,        3018,       10501,        1124,        1436.7,            3.6,           76.5,          178.7,        1177.8,        6592.9,        1358.8,        4728.0,          506.1
1990, IL, 12,       99581, ,           11, ,          245,          535,        5849,        1603,        3944,          302, ,           11.0, ,          246.0,          537.3,        5873.6,        1609.7,        3960.6,          303.3
1991, CO, 12,      227670,        3746,           11,          184,          564,        2987,       15905,        3261,       11374,        1270,        1645.4,            4.8,           80.8,          247.7,        1312.0,        6986.0,        1432.3,        4995.8,          557.8
1991, IL, 12,       99990, ,           13, ,          301,          514,        6173,        1687,        4080,          406, ,           13.0, ,          301.0,          514.1,        6173.6,        1687.2,        4080.4,          406.0
1992, CO, 12,      233939,        4064,           16,          182,          672,        3194,       15952,        2975,       11300,        1677,        1737.2,            6.8,           77.8,          287.3,        1365.3,        6818.9,        1271.7,        4830.3,          716.9
1992, IL, 12,       99990, ,           14, ,          269,          556,        5627,        1330,        3854,          443, ,           14.0, ,          269.0,          556.1,        5627.6,        1330.1,        3854.4,          443.0
1993, CO, 12,      246610,        4457,           19,          166,          740,        3532,       15910,        2909,       11512,        1489,        1807.3,            7.7,           67.3,          300.1,        1432.2,        6451.5,        1179.6,        4668.1,          603.8
1993, IL, 12,      106694, ,           17, ,          304,          499,        5786,        1465,        3932,          389, ,           15.9, ,          284.9,          467.7,        5423.0,        1373.1,        3685.3,          364.6
1994, CO, 12,      252833,        3661,           15,          147,          623,        2876,       16095,        3018,       11802,        1275,        1448.0,            5.9,           58.1,          246.4,        1137.5,        6365.9,        1193.7,        4667.9,          504.3
1994, IL, 12,      107195, ,           13, ,          306,          625,        5182,        1232,        3317,          633, ,           12.1, ,          285.5,          583.0,        4834.2,        1149.3,        3094.4,          590.5
1995, CO, 12,      256957,        1958,           18,          138,          549,        1253,       14944,        2436,       11173,        1335,          762.0,            7.0,           53.7,          213.7,          487.6,        5815.8,          948.0,        4348.2,          519.5
1995, IL, 12,      113058, ,           24, ,          231,          576,        5399,        1151,        3756,          492, ,           21.2, ,          204.3,          509.5,        4775.4,        1018.1,        3322.2,          435.2
1996, CO, 12,      262168,        1629,           11,          193,          559,          866,       14353,        2589,       10366,        1398,          621.4,            4.2,           73.6,          213.2,          330.3,        5474.7,          987.5,        3954.0,          533.2
1996, IL, 12,      113220, ,           26, ,          226,          567,        5562,        1241,        3964,          357, ,           23.0, ,          199.6,          500.8,        4912.6,        1096.1,        3501.1,          315.3
1997, CO, 12,      266967,        1658,           17,          223,          501,          917,       14863,        2315,       10387,        2161,          621.1,            6.4,           83.5,          187.7,          343.5,        5567.4,          867.1,        3890.7,          809.5
1997, IL, 12,      113688, ,           20, ,          225,          561,        5091,        1067,        3736,          288, ,           17.6, ,          197.9,          493.5,        4478.0,          938.5,        3286.2,          253.3
1998, CO, 12,      262465,        1496,           28,          189,          477,          802,       13033,        2324,        8873,        1836,          570.0,           10.7,           72.0,          181.7,          305.6,        4965.6,          885.5,        3380.6,          699.5
1998, IL, 12,      121237, ,           11, ,          165,          573,        5217,        1138,        3707,          372, ,            9.1, ,          136.1,          472.6,        4303.1,          938.7,        3057.6,          306.8
1999, CO, 12,      255938,        1454,           11,          182,          455,          806,       12998,        2291,        8684,        2023,          568.1,            4.3,           71.1,          177.8,          314.9,        5078.6,          895.1,        3393.0,          790.4
1999, IL, 12,      125596, ,            9, ,          179,          590,        4914,        1006,        3492,          416, ,            7.2, ,          142.5,          469.8,        3912.5,          801.0,        2780.3,          331.2
2000, CO, 12,      276393,        1513,           22,          165,          473,          853,       14055,        1926,        9516,        2613,          547.4,            8.0,           59.7,          171.1,          308.6,        5085.2,          696.8,        3442.9,          945.4
2000, IL, 12,      142990, ,           15, ,          185,          586,        5156,        1139,        3557,          460, ,           10.5, ,          129.4,          409.8,        3605.8,          796.6,        2487.6,          321.7
2001, CO, 12,      283876,        1641,           17,          205,          487,          932,       15346,        1847,       10511,        2988,          578.1,            6.0,           72.2,          171.6,          328.3,        5405.9,          650.6,        3702.7,        1052.6
2001, IL, 12,      143715, ,            8, ,          256,          605,        5092,        1064,        3672,          356, ,            5.6, ,          178.1,          421.0,        3543.1,          740.4,        2555.1,          247.7
2002, CO, 12,      289584,        1827,           16,          242,          546,        1023,       16192,        2170,       10520,        3502,          630.9,            5.5,           83.6,          188.5,          353.3,        5591.5,          749.4,        3632.8,        1209.3
2002, IL, 12,      145078, ,           25, ,          158,          538,        5313,        1017,        3979,          317, ,           17.2, ,          108.9,          370.8,        3662.2,          701.0,        2742.7,          218.5
2003, CO, 12,      288830,        1700,           18,          227,          572,          883,       15294,        2338,       10298,        2658,          588.6,            6.2,           78.6,          198.0,          305.7,        5295.2,          809.5,        3565.4,          920.3
2003, IL, 12,      157633, ,           13, ,          215,          475,        5032,          942,        3739,          351, ,            8.2, ,          136.4,          301.3,        3192.2,          597.6,        2372.0,          222.7
2004, CO, 12,      293655,        1739,           13,          193,          554,          979,       15044,        2654,        9931,        2459,          592.2,            4.4,           65.7,          188.7,          333.4,        5123.0,          903.8,        3381.9,          837.4
2004, IL, 12,      162954, ,           17, ,          153,          488,        5094,          882,        3885,          327, ,           10.4, ,           93.9,          299.5,        3126.0,          541.3,        2384.1,          200.7
2005, CO, 12,      295888,        1835,           28,          223,          644,          940,       14719,        2474,        9503,        2742,          620.2,            9.5,           75.4,          217.6,          317.7,        4974.5,          836.1,        3211.7,          926.7
2005, IL, 12,      167266, ,           14, ,          176,          480,        4832,          883,        3642,          307, ,            8.4, ,          105.2,          287.0,        2888.8,          527.9,        2177.4,          183.5
2006, CO, 12,      302855,        1857,           18,          217,          600,        1022,       12799,        2469,        8291,        2039,          613.2,            5.9,           71.7,          198.1,          337.5,        4226.1,          815.2,        2737.6,          673.3
2006, IL, 12,      169085, ,            4, ,          178,          531,        4936,          917,        3734,          285, ,            2.4, ,          105.3,          314.0,        2919.2,          542.3,        2208.4,          168.6
2007, CO, 12,      307621,        1685,           14,          191,          584,          896,       11784,        2321,        7745,        1718,          547.8,            4.6,           62.1,          189.8,          291.3,        3830.7,          754.5,        2517.7,          558.5
2007, IL, 12,      174724, ,           12, ,          172,          589,        4507,          921,        3321,          265, ,            6.9, ,           98.4,          337.1,        2579.5,          527.1,        1900.7,          151.7
2008, CO, 12,      316323,        1621,           18,          187,          555,          861,       10661,        2220,        7145,        1296,          512.5,            5.7,           59.1,          175.5,          272.2,        3370.3,          701.8,        2258.8,          409.7
2008, IL, 12,      174488, ,            2, ,          154,          537,        4347,          879,        3216,          252, ,            1.1, ,           88.3,          307.8,        2491.3,          503.8,        1843.1,          144.4
2009, CO, 12,      324014,        1520,           19,          214,          553,          734,       10029,        2051,        6812,        1166,          469.1,            5.9,           66.0,          170.7,          226.5,        3095.2,          633.0,        2102.4,          359.9
2009, IL, 12,      175135, ,            5, ,          138,          531,        4222,          755,        3272,          195, ,            2.9, ,           78.8,          303.2,        2410.7,          431.1,        1868.3,          111.3
2010, CO, 12,      325078,        1449,           24,          181,          507,          737,       10056,        2291,        6875,          890,          445.7,            7.4,           55.7,          156.0,          226.7,        3093.4,          704.8,        2114.9,          273.8
2010, IL, 12,      197899,          634,            4,           64,          113,          453,        3767,          820,        2809,          138,          320.4,            2.0,           32.3,           57.1,          228.9,        1903.5,          414.4,        1419.4,           69.7
2011, CO, 12,      330740,        1448,            9,          183,          504,          752,        9875,        2144,        6861,          870,          437.8,            2.7,           55.3,          152.4,          227.4,        2985.7,          648.2,        2074.4,          263.0
2011, IL, 12,      198495,          636,            2,           58,          158,          418,        3821,          947,        2740,          134,          320.4,            1.0,           29.2,           79.6,          210.6,        1925.0,          477.1,        1380.4,           67.5
2012, CO, 12,      336952,        1433,           29,          179,          483,          742,       10059,        1791,        7370,          898,          425.3,            8.6,           53.1,          143.3,          220.2,        2985.3,          531.5,        2187.3,          266.5
2012, IL, 12,      199765,          563,            0,           65,          125,          373,        3565,          944,        2495,          126,          281.8,             .0,           32.5,           62.6,          186.7,        1784.6,          472.6,        1249.0,           63.1
