Year,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1984, FL, 12,       40650,           50,            0,            1,            9,           40,          816,          264,          528,           24,          123.0,             .0,            2.5,           22.1,           98.4,        2007.4,          649.4,        1298.9,           59.0
1985, FL, 12,       42096,           69,            0,            2,           15,           52,        1331,          355,          931,           45,          163.9,             .0,            4.8,           35.6,          123.5,        3161.8,          843.3,        2211.6,          106.9
1986, FL, 12,       46699,           93,            0,            3,           16,           74,        1604,          476,        1058,           70,          199.1,             .0,            6.4,           34.3,          158.5,        3434.8,        1019.3,        2265.6,          149.9
1987, FL, 12,       51707,           80,            4,            1,           11,           64,        2282,          683,        1492,          107,          154.7,            7.7,            1.9,           21.3,          123.8,        4413.3,        1320.9,        2885.5,          206.9
1989, FL, 12,       61449,          169,            2,           13,           24,          130,        3752,        1130,        2334,          288,          275.0,            3.3,           21.2,           39.1,          211.6,        6105.9,        1838.9,        3798.3,          468.7
1990, FL, 12,       74991,          254,            3,           17,           34,          200,        3595,        1083,        2311,          201,          338.7,            4.0,           22.7,           45.3,          266.7,        4793.9,        1444.2,        3081.7,          268.0
1991, FL, 6,       76956,          116,            2,            6,           19,           89,        2061,          656,        1272,          133, , , , , , , , , 
1992, FL, 12,       78178,          255,            0,           26,           37,          192,        3927,        1245,        2458,          224,          326.2,             .0,           33.3,           47.3,          245.6,        5023.2,        1592.5,        3144.1,          286.5
1993, FL, 12,       82708,          262,            1,           12,           22,          227,        3900,        1077,        2588,          235,          316.8,            1.2,           14.5,           26.6,          274.5,        4715.4,        1302.2,        3129.1,          284.1
1994, FL, 12,       84364,          241,            3,           12,           35,          191,        3752,          930,        2578,          244,          285.7,            3.6,           14.2,           41.5,          226.4,        4447.4,        1102.4,        3055.8,          289.2
1995, FL, 12,       86265,          197,            1,           20,           36,          140,        3290,          802,        2295,          193,          228.4,            1.2,           23.2,           41.7,          162.3,        3813.8,          929.7,        2660.4,          223.7
1997, FL, 12,       89236,          193,            0,           20,           39,          134,        3435,          786,        2396,          253,          216.3,             .0,           22.4,           43.7,          150.2,        3849.3,          880.8,        2685.0,          283.5
1998, FL, 12,       91080,          248,            3,           18,           27,          200,        3081,          776,        2101,          204,          272.3,            3.3,           19.8,           29.6,          219.6,        3382.7,          852.0,        2306.8,          224.0
1999, FL, 12,       92374,          247,            1,           19,           20,          207,        2738,          667,        1927,          144,          267.4,            1.1,           20.6,           21.7,          224.1,        2964.0,          722.1,        2086.1,          155.9
2000, FL, 12,      102286,          213,            0,           16,           32,          165,        3417,          736,        2460,          221,          208.2,             .0,           15.6,           31.3,          161.3,        3340.6,          719.6,        2405.0,          216.1
2001, FL, 12,      104936,          346,            2,           13,           34,          297,        3324,          855,        2293,          176,          329.7,            1.9,           12.4,           32.4,          283.0,        3167.6,          814.8,        2185.1,          167.7
2002, FL, 12,      106963,          389,            3,           17,           42,          327,        3697,        1081,        2394,          222,          363.7,            2.8,           15.9,           39.3,          305.7,        3456.3,        1010.6,        2238.2,          207.5
2003, FL, 12,      114966,          312,            1,           11,           33,          267,        3763,        1044,        2544,          175,          271.4,             .9,            9.6,           28.7,          232.2,        3273.1,          908.1,        2212.8,          152.2
2004, FL, 12,      121375,          328,            4,           25,           43,          256,        3474,          882,        2359,          233,          270.2,            3.3,           20.6,           35.4,          210.9,        2862.2,          726.7,        1943.6,          192.0
2005, FL, 12,      130874,          361,            5,           45,           74,          237,        3900,        1026,        2567,          307,          275.8,            3.8,           34.4,           56.5,          181.1,        2980.0,          784.0,        1961.4,          234.6
2006, FL, 12,      142371,          406,            6,           52,           83,          265,        4908,        1462,        3115,          331,          285.2,            4.2,           36.5,           58.3,          186.1,        3447.3,        1026.9,        2187.9,          232.5
2007, FL, 12,      159936,          402,            5,           40,           97,          260,        5574,        1483,        3787,          304,          251.4,            3.1,           25.0,           60.6,          162.6,        3485.1,          927.2,        2367.8,          190.1
2008, FL, 12,      163403,          363,            7,           31,           93,          232,        5061,        1353,        3485,          223,          222.2,            4.3,           19.0,           56.9,          142.0,        3097.3,          828.0,        2132.8,          136.5
2009, FL, 12,      164344,          332,            3,           16,           92,          221,        4233,        1267,        2792,          174,          202.0,            1.8,            9.7,           56.0,          134.5,        2575.7,          770.9,        1698.9,          105.9
2010, FL, 12,      154305,          276,            3,           23,           64,          186,        3787,        1083,        2595,          109,          178.9,            1.9,           14.9,           41.5,          120.5,        2454.2,          701.9,        1681.7,           70.6
2011, FL, 12,      156408,          235,            3,           14,           58,          160,        3990,        1023,        2855,          112,          150.2,            1.9,            9.0,           37.1,          102.3,        2551.0,          654.1,        1825.4,           71.6
2012, FL, 12,      159625,          229,            4,           16,           41,          168,        3521,          860,        2547,          114,          143.5,            2.5,           10.0,           25.7,          105.2,        2205.8,          538.8,        1595.6,           71.4
