Year,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1984, IL, 12,       64737,          260,            4,           16,           72,          168,        3178,        1002,        2062,          114,          401.6,            6.2,           24.7,          111.2,          259.5,        4909.1,        1547.8,        3185.2,          176.1
1985, IL, 12,       64875, ,            1, ,           86,          153,        3482,          962,        2369,          151, ,            1.5, ,          132.6,          235.8,        5367.2,        1482.9,        3651.6,          232.8
1986, IL, 12,       67835, ,            5, ,           97,          162,        4154,        1315,        2615,          224, ,            7.4, ,          143.0,          238.8,        6123.7,        1938.5,        3854.9,          330.2
1987, IL, 12,       72311, ,            7, ,           97,          189,        4066,        1390,        2484,          192, ,            9.7, ,          134.1,          261.4,        5622.9,        1922.3,        3435.2,          265.5
1988, IL, 12,       74620, ,            8, ,          120,          252,        4364,        1284,        2861,          219, ,           10.7, ,          160.8,          337.7,        5848.3,        1720.7,        3834.1,          293.5
1989, IL, 12,       70062, ,            4, ,           87,          217,        4546,        1200,        3122,          224, ,            5.7, ,          124.2,          309.7,        6488.5,        1712.8,        4456.1,          319.7
1990, IL, 12,       77010, ,            3, ,          115,          220,        3935,          963,        2702,          270, ,            3.9, ,          149.3,          285.7,        5109.7,        1250.5,        3508.6,          350.6
1991, IL, 12,       77766, ,            6, ,          122,          276,        4388,        1138,        3052,          198, ,            7.7, ,          156.9,          354.9,        5642.6,        1463.4,        3924.6,          254.6
1992, IL, 12,       78357, ,            4, ,          120,          256,        3971,          895,        2862,          214, ,            5.1, ,          153.1,          326.7,        5067.8,        1142.2,        3652.5,          273.1
1993, IL, 12,       81693, ,            8, ,          104,          254,        3371,          763,        2369,          239, ,            9.8, ,          127.3,          310.9,        4126.4,          934.0,        2899.9,          292.6
1994, IL, 12,       82076, ,            5, ,          103,          274,        3813,          826,        2724,          263, ,            6.1, ,          125.5,          333.8,        4645.7,        1006.4,        3318.9,          320.4
2006, IL, 12,       99175, ,            2, ,           85,          127,        2247,          474,        1622,          151, ,            2.0, ,           85.7,          128.1,        2265.7,          477.9,        1635.5,          152.3
2007, IL, 12,      102960, ,            2, ,           95,          158,        2496,          489,        1795,          212, ,            1.9, ,           92.3,          153.5,        2424.2,          474.9,        1743.4,          205.9
2008, IL, 12,      105535, ,            2, ,           84,          164,        2351,          473,        1716,          162, ,            1.9, ,           79.6,          155.4,        2227.7,          448.2,        1626.0,          153.5
2009, IL, 12,      107686, ,            3, ,           79,          167,        2244,          445,        1683,          116, ,            2.8, ,           73.4,          155.1,        2083.8,          413.2,        1562.9,          107.7
2010, IL, 12,      108188,          355,            4,           86,           99,          166,        2186,          425,        1653,          108,          328.1,            3.7,           79.5,           91.5,          153.4,        2020.6,          392.8,        1527.9,           99.8
2011, IL, 12,      108514,          287,            5,           78,           82,          122,        2068,          555,        1425,           88,          264.5,            4.6,           71.9,           75.6,          112.4,        1905.7,          511.5,        1313.2,           81.1
2012, IL, 12,      109155,          257,            2,           67,           76,          112,        1982,          357,        1546,           79,          235.4,            1.8,           61.4,           69.6,          102.6,        1815.8,          327.1,        1416.3,           72.4
