Year,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1984, WA, 12,       57454,          273,            1,           48,          115,          109,        5621,        1453,        3904,          264,          475.2,            1.7,           83.5,          200.2,          189.7,        9783.5,        2529.0,        6795.0,          459.5
1985, WA, 12,       58244,          230,            2,           34,           96,           98,        6020,        1457,        4264,          299,          394.9,            3.4,           58.4,          164.8,          168.3,       10335.8,        2501.5,        7320.9,          513.4
1986, WA, 12,       58254,          263,            3,           43,          112,          105,        5573,        1490,        3796,          287,          451.5,            5.1,           73.8,          192.3,          180.2,        9566.7,        2557.8,        6516.3,          492.7
1987, WA, 12,       61402,          239,            1,           55,           90,           93,        5900,        1552,        3863,          485,          389.2,            1.6,           89.6,          146.6,          151.5,        9608.8,        2527.6,        6291.3,          789.9
1988, WA, 12,       63952,          245,            2,           56,          115,           72,        5866,        1598,        3827,          441,          383.1,            3.1,           87.6,          179.8,          112.6,        9172.5,        2498.7,        5984.2,          689.6
1989, WA, 12,       64264,          283,            8,           57,          128,           90,        5322,        1106,        3755,          461,          440.4,           12.4,           88.7,          199.2,          140.0,        8281.5,        1721.0,        5843.1,          717.4
1990, WA, 12,       69961,          302,            5,           76,          106,          115,        4846,          936,        3515,          395,          431.7,            7.1,          108.6,          151.5,          164.4,        6926.7,        1337.9,        5024.2,          564.6
1991, WA, 12,       72136,          367,            2,           90,          144,          131,        5032,        1029,        3592,          411,          508.8,            2.8,          124.8,          199.6,          181.6,        6975.7,        1426.5,        4979.5,          569.8
1992, WA, 12,       73832,          341,            1,           88,          136,          116,        5228,          870,        3877,          481,          461.9,            1.4,          119.2,          184.2,          157.1,        7080.9,        1178.4,        5251.1,          651.5
1993, WA, 12,       76760,          407,            4,          116,          161,          126,        5941,          915,        4565,          461,          530.2,            5.2,          151.1,          209.7,          164.1,        7739.7,        1192.0,        5947.1,          600.6
1994, WA, 12,       78045,          631,            7,          126,          176,          322,        6200,        1097,        4603,          500,          808.5,            9.0,          161.4,          225.5,          412.6,        7944.1,        1405.6,        5897.9,          640.7
1997, WA, 12,       80516,          628,            3,          127,          188,          310,        5800,        1239,        3594,          967,          780.0,            3.7,          157.7,          233.5,          385.0,        7203.5,        1538.8,        4463.7,        1201.0
1998, WA, 12,       85197,          622,            3,          139,          168,          312,        5699,        1086,        3424,        1189,          730.1,            3.5,          163.2,          197.2,          366.2,        6689.2,        1274.7,        4018.9,        1395.6
1999, WA, 12,       89670,          492,            5,          140,          135,          212,        5355,          944,        3239,        1172,          548.7,            5.6,          156.1,          150.6,          236.4,        5971.9,        1052.7,        3612.1,        1307.0
2000, WA, 12,       91488,          567,            4,          142,          146,          275,        5661,          970,        3421,        1270,          619.8,            4.4,          155.2,          159.6,          300.6,        6187.7,        1060.2,        3739.3,        1388.2
2001, WA, 12,       92945,          547,            5,           76,          170,          296,        6288,        1008,        3798,        1482,          588.5,            5.4,           81.8,          182.9,          318.5,        6765.3,        1084.5,        4086.3,        1594.5
2002, WA, 12,       94203,          507,            3,           54,          185,          265,        6238,          839,        3724,        1675,          538.2,            3.2,           57.3,          196.4,          281.3,        6621.9,          890.6,        3953.2,        1778.1
2003, WA, 12,       98087,          546,            2,           77,          168,          299,        6406,          981,        3846,        1579,          556.6,            2.0,           78.5,          171.3,          304.8,        6530.9,        1000.1,        3921.0,        1609.8
2004, WA, 12,       97783,          563,            3,           62,          185,          313,        7004,        1346,        3986,        1672,          575.8,            3.1,           63.4,          189.2,          320.1,        7162.8,        1376.5,        4076.4,        1709.9
2005, WA, 12,       97402,          537,            3,           48,          173,          313,        7600,        1272,        4243,        2085,          551.3,            3.1,           49.3,          177.6,          321.3,        7802.7,        1305.9,        4356.2,        2140.6
2006, WA, 12,       98264,          602,            3,           43,          240,          316,        9063,        1352,        5468,        2243,          612.6,            3.1,           43.8,          244.2,          321.6,        9223.1,        1375.9,        5564.6,        2282.6
2007, WA, 12,       98845,          564,            7,           61,          209,          287,        8739,        1405,        5456,        1878,          570.6,            7.1,           61.7,          211.4,          290.4,        8841.1,        1421.4,        5519.8,        1899.9
2008, WA, 12,       98552,          584,            1,           76,          223,          284,        7542,        1251,        5108,        1183,          592.6,            1.0,           77.1,          226.3,          288.2,        7652.8,        1269.4,        5183.1,        1200.4
2009, WA, 12,       98431,          610,            2,           51,          263,          294,        6948,        1099,        5070,          779,          619.7,            2.0,           51.8,          267.2,          298.7,        7058.8,        1116.5,        5150.8,          791.4
2010, WA, 12,      103019,          535,            5,           76,          181,          273,        7672,          994,        5536,        1142,          519.3,            4.9,           73.8,          175.7,          265.0,        7447.2,          964.9,        5373.8,        1108.5
2011, WA, 12,      104635,          450,            5,           49,          143,          253,        7503,        1163,        5415,          925,          430.1,            4.8,           46.8,          136.7,          241.8,        7170.6,        1111.5,        5175.1,          884.0
2012, WA, 12,      105318,          481,            1,           46,          182,          252,        6416,        1165,        4281,          970,          456.7,             .9,           43.7,          172.8,          239.3,        6092.0,        1106.2,        4064.8,          921.0
