Year,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1984, AL, 12, ,          989,            9,           40,          100,          840,        4181,        1558,        2246,          377, , , , , , , , , 
1984, CO, 12, ,          134,            3,           15,           49,           67,        5047,        1436,        3358,          253, , , , , , , , , 
1985, AL, 12, ,        1242,           18,           54,          146,        1024,        4705,        1722,        2518,          465, , , , , , , , , 
1985, CO, 12, ,          161,            0,           20,           55,           86,        6104,        1758,        3969,          377, , , , , , , , , 
1986, AL, 12, ,        1303,           15,           48,          154,        1086,        5254,        1976,        2882,          396, , , , , , , , , 
1986, CO, 12, ,          162,            4,           12,           55,           91,        6415,        1817,        4274,          324, , , , , , , , , 
1987, AL, 12, ,        1253,           12,           51,          149,        1041,        5121,        1895,        2795,          431, , , , , , , , , 
1987, CO, 12, ,          132,            1,           16,           70,           45,        5914,        1624,        4011,          279, , , , , , , , , 
1988, AL, 12, ,        1131,           13,           48,          127,          943,        5272,        1968,        2815,          489, , , , , , , , , 
1988, CO, 12, ,          135,            5,           13,           45,           72,        5737,        1505,        3946,          286, , , , , , , , , 
1988, MO, 5, ,           80,            4,           11,           14,           51,        1055,          480,          497,           78, , , , , , , , , 
1989, AL, 12, ,        1061,           11,           57,          152,          841,        5163,        2037,        2657,          469, , , , , , , , , 
1989, CO, 12, ,          129,            4,           19,           43,           63,        5471,        1344,        3802,          325, , , , , , , , , 
1989, MO, 12, ,          274,            1,           31,           22,          220,        2911,        1301,        1431,          179, , , , , , , , , 
1990, AL, 12, ,        1311,           13,           52,          153,        1093,        5528,        1751,        3223,          554, , , , , , , , , 
1990, CO, 12, ,          137,            4,           22,           48,           63,        5233,        1284,        3711,          238, , , , , , , , , 
1990, MO, 12, ,          307,            4,           40,           22,          241,        3116,        1286,        1653,          177, , , , , , , , , 
1991, AL, 12, ,        1108,           17,           58,          137,          896,        5843,        1908,        3359,          576, , , , , , , , , 
1991, CO, 12, ,          142,            5,           23,           36,           78,        5168,        1124,        3827,          217, , , , , , , , , 
1991, MO, 5, ,          142,            5,           20,           19,           98,        1226,          475,          665,           86, , , , , , , , , 
1992, AL, 12, ,        1181,           11,           65,          140,          965,        5359,        1658,        3171,          530, , , , , , , , , 
1992, CO, 12, ,          170,            2,           22,           60,           86,        4990,        1105,        3591,          294, , , , , , , , , 
1992, MO, 12, ,          466,            2,           46,           29,          389,        3720,        1394,        2081,          245, , , , , , , , , 
1993, AL, 12, ,        1096,           10,           55,          133,          898,        5523,        1646,        3376,          501, , , , , , , , , 
1993, CO, 12, ,          122,            2,           22,           40,           58,        4623,        1008,        3397,          218, , , , , , , , , 
1993, MO, 12, ,          358,            3,           32,           37,          286,        3142,          966,        1909,          267, , , , , , , , , 
1994, AL, 12, ,          831,           10,           70,          145,          606,        5416,        1587,        3320,          509, , , , , , , , , 
1994, CO, 12, ,          124,            1,           27,           34,           62,        4282,        1085,        2960,          237, , , , , , , , , 
1994, MO, 12, ,          379,            7,           33,           20,          319,        3241,          945,        1961,          335, , , , , , , , , 
1995, AL, 12, ,          802,           11,           57,          190,          544,        5309,        1508,        3365,          436, , , , , , , , , 
1995, CO, 12, ,          208,            6,           27,           37,          138,        4594,          977,        3390,          227, , , , , , , , , 
1995, MO, 12, ,          206,            2,           48,           12,          144,        3268,          933,        1991,          344, , , , , , , , , 
1996, AL, 12, ,          707,           17,           47,          166,          477,        5485,        1604,        3415,          466, , , , , , , , , 
1996, CO, 12, ,          158,            0,           27,           42,           89,        4353,          876,        3208,          269, , , , , , , , , 
1996, MO, 12, ,          213,            7,           20,           16,          170,        3394,          864,        2175,          355, , , , , , , , , 
1997, AL, 12, ,          667,           16,           46,          167,          438,        4979,        1315,        3175,          489, , , , , , , , , 
1997, CO, 12, ,          131,            2,           31,           30,           68,        3895,          823,        2829,          243, , , , , , , , , 
1997, MO, 12, ,          403,            4,           18,            8,          373,        3084,          817,        1949,          318, , , , , , , , , 
1998, AL, 12, ,          532,            7,           51,          114,          360,        4738,        1286,        2965,          487, , , , , , , , , 
1998, CO, 12, ,          105,            4,           14,           18,           69,        3511,          813,        2514,          184, , , , , , , , , 
1998, MO, 12, ,          511,            1,           29,            8,          473,        3077,          793,        2034,          250, , , , , , , , , 
1999, AL, 12, ,          527,            2,           47,          129,          349,        4393,        1180,        2772,          441, , , , , , , , , 
1999, CO, 12, ,          136,           13,           21,           32,           70,        3107,          653,        2296,          158, , , , , , , , , 
1999, MO, 12, ,          358,            3,           21,           15,          319,        2767,          690,        1804,          273, , , , , , , , , 
2000, AL, 12, ,          534,            7,           41,          132,          354,        4778,        1364,        2962,          452, , , , , , , , , 
2000, CO, 12, ,          117,            0,           18,           25,           74,        2957,          563,        2183,          211, , , , , , , , , 
2000, MO, 12, ,          500,            5,           27,            9,          459,        2505,          604,        1601,          300, , , , , , , , , 
2001, AL, 12, ,          560,            5,           37,          151,          367,        5231,        1535,        3260,          436, , , , , , , , , 
2001, CO, 12, ,          112,            0,           21,           12,           79,        2799,          612,        1949,          238, , , , , , , , , 
2001, MO, 12, ,          338,            4,           17,           11,          306,        3483,          505,        2654,          324, , , , , , , , , 
2002, AL, 12, ,          376,            7,           29,          129,          211,        4366,        1339,        2651,          376, , , , , , , , , 
2002, CO, 12, ,          198,            2,           29,           22,          145,        2680,          471,        1976,          233, , , , , , , , , 
2002, MO, 12, ,          341,            5,           34,           14,          288,        3928,          498,        3053,          377, , , , , , , , , 
2003, AL, 12, ,          393,            4,           34,          157,          198,        4537,        1336,        2773,          428, , , , , , , , , 
2003, CO, 12, ,          333,            3,           36,           43,          251,        3529,          657,        2531,          341, , , , , , , , , 
2003, MO, 12, ,          385,            2,           25,            8,          350,        3034,          458,        2212,          364, , , , , , , , , 
2004, AL, 12, ,          327,            0,           42,          116,          169,        3847,        1214,        2277,          356, , , , , , , , , 
2004, CO, 12, ,          302,            2,           22,           39,          239,        4101,          696,        2960,          445, , , , , , , , , 
2004, MO, 12, ,          415,            1,           41,            6,          367,        2816,          352,        2172,          292, , , , , , , , , 
2005, AL, 12, ,          457,            4,           43,          149,          261,        5278,        1833,        2927,          518, , , , , , , , , 
2005, CO, 12, ,          250,            2,           37,           26,          185,        3708,          722,        2573,          413, , , , , , , , , 
2005, MO, 12, ,          375,            1,           33,           11,          330,        3321,          532,        2512,          277, , , , , , , , , 
2006, AL, 12, ,          642,            9,           57,          227,          349,        5260,        1779,        2949,          532, , , , , , , , , 
2006, CO, 12, ,          251,            2,           55,           27,          167,        3801,          984,        2451,          366, , , , , , , , , 
2006, MO, 12, ,          398,            3,           36,           17,          342,        3598,          421,        2943,          234, , , , , , , , , 
2007, AL, 12, ,          557,            3,           48,          221,          285,        5320,        1844,        2932,          544, , , , , , , , , 
2007, CO, 12, ,          254,            2,           40,           17,          195,        3053,          615,        2212,          226, , , , , , , , , 
2007, MO, 12, ,          396,            2,           36,           17,          341,        3418,          377,        2827,          214, , , , , , , , , 
2008, AL, 12, ,          637,            5,           62,          282,          288,        5960,        2358,        3103,          499, , , , , , , , , 
