Year,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1984, IL, 12, ,          168,            1,           26,           24,          117,        2780,        1094,        1356,          330, , , , , , , , , 
1984, FL, 12, ,          269,            4,           20,           34,          211,        1852,          932,          817,          103, , , , , , , , , 
1985, IL, 12, , ,            5, ,           21,          119,        2789,          988,        1498,          303, , , , , , , , , 
1985, FL, 12, ,          241,            3,           10,           20,          208,        1313,          879,          329,          105, , , , , , , , , 
1986, IL, 12, , ,            1, ,           17,          128,        2794,        1083,        1428,          283, , , , , , , , , 
1986, FL, 12, ,          358,            3,           19,           78,          258,        1814,        1099,          576,          139, , , , , , , , , 
1987, IL, 12, , ,            1, ,           26,          136,        2913,        1027,        1553,          333, , , , , , , , , 
1987, FL, 12, ,          374,            4,           18,           44,          308,        2128,        1061,          861,          206, , , , , , , , , 
1988, IL, 12, , ,            2, ,           24,          167,        2739,          936,        1490,          313, , , , , , , , , 
1989, IL, 12, , ,            0, ,           20,          149,        2692,          853,        1569,          270, , , , , , , , , 
1989, FL, 12, ,          376,            3,           36,           27,          310,        2710,        1161,        1346,          203, , , , , , , , , 
1990, IL, 12, , ,            5, ,           24,          145,        2892,          965,        1653,          274, , , , , , , , , 
1990, FL, 12, ,          454,            7,           44,           28,          375,        2866,        1131,        1439,          296, , , , , , , , , 
1991, IL, 12, , ,            3, ,           23,          146,        2968,          898,        1779,          291, , , , , , , , , 
1991, FL, 10, ,          431,            0,           39,           31,          361,        2513,        1072,        1246,          195, , , , , , , , , 
1992, IL, 12, , ,            0, ,           22,          148,        2704,          847,        1636,          221, , , , , , , , , 
1992, FL, 12, ,          469,            3,           46,           36,          384,        2621,        1015,        1353,          253, , , , , , , , , 
1993, IL, 12, , ,            2, ,           18,          160,        2705,          784,        1625,          296, , , , , , , , , 
1993, FL, 12, ,          476,            4,           48,           22,          402,        2698,        1132,        1321,          245, , , , , , , , , 
1994, IL, 12, , ,            4, ,           21,          138,        2527,          654,        1611,          262, , , , , , , , , 
1994, FL, 11, ,          524,            3,           46,           41,          434,        2617,        1066,        1318,          233, , , , , , , , , 
1995, FL, 12, ,          581,            5,           65,           30,          481,        2745,        1009,        1502,          234, , , , , , , , , 
1997, FL, 12, ,          627,            4,           45,           37,          541,        3194,        1179,        1811,          204, , , , , , , , , 
1998, FL, 12, ,          727,            1,           56,           35,          635,        3227,        1128,        1870,          229, , , , , , , , , 
1999, FL, 12, ,        1304,            8,           77,           45,        1174,        3371,        1203,        1896,          272, , , , , , , , , 
2000, FL, 12, ,        1122,            6,           50,           45,        1021,        3406,        1180,        1951,          275, , , , , , , , , 
2001, FL, 12, ,          805,            3,           37,           46,          719,        3246,        1078,        1866,          302, , , , , , , , , 
2002, FL, 12, ,          691,            3,           27,           37,          624,        3169,        1088,        1790,          291, , , , , , , , , 
2003, FL, 12, ,          681,            1,           37,           33,          610,        3326,        1246,        1784,          296, , , , , , , , , 
2004, FL, 12, ,          848,            4,           35,           42,          767,        3268,        1202,        1737,          329, , , , , , , , , 
2005, FL, 12, ,          905,            8,           38,           32,          827,        3706,        1346,        1995,          365, , , , , , , , , 
2006, FL, 12, ,          929,            4,           53,           55,          817,        3746,        1249,        2164,          333, , , , , , , , , 
2006, IL, 12, , ,            0, ,           17,          124,        1978,          505,        1366,          107, , , , , , , , , 
2007, FL, 12, ,          776,            2,           56,           49,          669,        3529,        1185,        1986,          358, , , , , , , , , 
2007, IL, 12, , ,            1, ,           14,          106,        1837,          468,        1227,          142, , , , , , , , , 
2008, FL, 12, ,          897,            7,           56,           57,          777,        3673,        1229,        2166,          278, , , , , , , , , 
2008, IL, 12, , ,            0, ,           10,          113,        2107,          568,        1426,          113, , , , , , , , , 
2009, FL, 12, ,          711,            2,           50,           55,          604,        3351,        1141,        1981,          229, , , , , , , , , 
2009, IL, 12, , ,            0, ,           14,           86,        1734,          483,        1173,           78, , , , , , , , , 
2010, FL, 12, ,          595,            7,           35,           24,          529,        2813,          794,        1837,          182, , , , , , , , , 
2010, IL, 12, ,           84,            2,           14,           10,           58,        1712,          457,        1178,           77, , , , , , , , , 
2011, FL, 12, ,          562,            6,           27,           48,          481,        3488,        1159,        2090,          239, , , , , , , , , 
2011, IL, 12, ,           61,            1,            9,           16,           35,        1795,          569,        1154,           72, , , , , , , , , 
2012, FL, 12, ,          452,            3,           29,           38,          382,        3096,          991,        1908,          197, , , , , , , , , 
2012, IL, 12, ,           68,            2,            9,           10,           47,        1760,          451,        1236,           73, , , , , , , , , 
