Year,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1984, KS, 12,      121449,          703,            3,           59,          216,          425,        7746,        1918,        5586,          242,          578.8,            2.5,           48.6,          177.9,          349.9,        6378.0,        1579.3,        4599.5,          199.3
1985, KS, 12,      119540,          694,            6,           56,          226,          406,        8583,        2245,        6039,          299,          580.6,            5.0,           46.8,          189.1,          339.6,        7180.0,        1878.0,        5051.9,          250.1
1986, KS, 12,      120064,          800,           12,           57,          244,          487,        9630,        4038,        5233,          359,          666.3,           10.0,           47.5,          203.2,          405.6,        8020.7,        3363.2,        4358.5,          299.0
1987, KS, 12,      119331,          881,            4,           71,          261,          545,       10060,        2866,        6795,          399,          738.3,            3.4,           59.5,          218.7,          456.7,        8430.3,        2401.7,        5694.2,          334.4
1988, KS, 12,      120252,          888,            7,           55,          252,          574,       10585,        2900,        7270,          415,          738.4,            5.8,           45.7,          209.6,          477.3,        8802.3,        2411.6,        6045.6,          345.1
1989, KS, 12,      123218,          980,           11,           62,          259,          648,       10828,        3047,        7311,          470,          795.3,            8.9,           50.3,          210.2,          525.9,        8787.7,        2472.9,        5933.4,          381.4
1990, KS, 12,      119883,        1162,           11,           80,          290,          781,       10254,        2878,        6948,          428,          969.3,            9.2,           66.7,          241.9,          651.5,        8553.3,        2400.7,        5795.7,          357.0
1991, KS, 12,      120725,        1426,           16,           79,          332,          999,       11171,        3524,        7148,          499,        1181.2,           13.3,           65.4,          275.0,          827.5,        9253.3,        2919.0,        5920.9,          413.3
1992, KS, 12,      122079,        1627,            8,           82,          369,        1168,       10598,        3627,        6523,          448,        1332.7,            6.6,           67.2,          302.3,          956.8,        8681.3,        2971.0,        5343.3,          367.0
1993, KS, 6,      121021,          826,           12,           44,          162,          608,        5137,        1726,        3217,          194, , , , , , , , , 
1995, KS, 12,      121165,        1507,            9,           89,          504,          905,       14424,        5894,        7535,          995,        1243.8,            7.4,           73.5,          416.0,          746.9,       11904.4,        4864.4,        6218.8,          821.2
1996, KS, 12,      121495,        1502,           17,           89,          533,          863,       13892,        3563,        9659,          670,        1236.3,           14.0,           73.3,          438.7,          710.3,       11434.2,        2932.6,        7950.1,          551.5
1997, KS, 12,      122581,        1576,            8,          105,          484,          979,       14369,        3052,       10635,          682,        1285.7,            6.5,           85.7,          394.8,          798.7,       11722.0,        2489.8,        8675.9,          556.4
1998, KS, 12,      121352,        1539,           16,          100,          415,        1008,       13961,        2954,       10189,          818,        1268.2,           13.2,           82.4,          342.0,          830.6,       11504.5,        2434.2,        8396.2,          674.1
1999, KS, 12,      120108,        1108,           15,          101,          377,          615,       12242,        2436,        9107,          699,          922.5,           12.5,           84.1,          313.9,          512.0,       10192.5,        2028.2,        7582.3,          582.0
2000, KS, 12,      122377,        1278,           18,           61,          472,          727,       11778,        2727,        8067,          984,        1044.3,           14.7,           49.8,          385.7,          594.1,        9624.4,        2228.4,        6591.9,          804.1
2001, KS, 12,      122660,        1075,           22,           84,          358,          611,       10455,        2046,        7632,          777,          876.4,           17.9,           68.5,          291.9,          498.1,        8523.6,        1668.0,        6222.1,          633.5
2002, KS, 12,      123627,          989,            8,           73,          409,          499,       10305,        1767,        7863,          675,          800.0,            6.5,           59.0,          330.8,          403.6,        8335.6,        1429.3,        6360.3,          546.0
2003, KS, 12,      122446,          728,           16,           52,          298,          362,        9208,        1518,        7183,          507,          594.5,           13.1,           42.5,          243.4,          295.6,        7520.0,        1239.7,        5866.3,          414.1
2004, KS, 12,      122545,          636,            8,           50,          246,          332,        9043,        1401,        6983,          659,          519.0,            6.5,           40.8,          200.7,          270.9,        7379.3,        1143.3,        5698.3,          537.8
2005, KS, 12,      122218,          682,            7,           50,          275,          350,        9662,        1719,        7244,          699,          558.0,            5.7,           40.9,          225.0,          286.4,        7905.5,        1406.5,        5927.1,          571.9
2006, KS, 12,      122807,          669,            9,           57,          310,          293,        8748,        1478,        6645,          625,          544.8,            7.3,           46.4,          252.4,          238.6,        7123.4,        1203.5,        5410.9,          508.9
2007, KS, 12,      121885,          719,           12,           47,          308,          352,        7774,        1424,        5646,          704,          589.9,            9.8,           38.6,          252.7,          288.8,        6378.1,        1168.3,        4632.2,          577.6
2008, KS, 12,      122554,          609,           10,           35,          275,          289,        7316,        1561,        5067,          688,          496.9,            8.2,           28.6,          224.4,          235.8,        5969.6,        1273.7,        4134.5,          561.4
2009, KS, 12,      123449,          715,           10,           44,          301,          360,        6702,        1663,        4632,          407,          579.2,            8.1,           35.6,          243.8,          291.6,        5429.0,        1347.1,        3752.2,          329.7
2010, KS, 12,      127473,          695,           12,           51,          222,          410,        7506,        1598,        5404,          504,          545.2,            9.4,           40.0,          174.2,          321.6,        5888.3,        1253.6,        4239.3,          395.4
2011, KS, 12,      128283,          698,           15,           53,          235,          395,        7529,        1727,        5213,          589,          544.1,           11.7,           41.3,          183.2,          307.9,        5869.1,        1346.2,        4063.7,          459.1
2012, KS, 12,      128843,          772,           15,           39,          237,          481,        6841,        1277,        4967,          597,          599.2,           11.6,           30.3,          183.9,          373.3,        5309.6,          991.1,        3855.1,          463.4
