Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Abilene Police Dept,TX,12,     110222,         890,           8,          75,         134,         673,       4584,       1089,       3323,         172,         807.5,           7.3,          68.0,         121.6,         610.6,       4158.9,         988.0,       3014.8,         156.0
Ada County Sheriff Department,ID,12,,         136,           0,          20,           6,         110,       1683,         379,       1213,          91,,,,,,,,,
Aiken County Sheriff Department,SC,12,,         632,          11,          44,          94,         483,       2738,       1019,       1449,         270,,,,,,,,,
Akron City Police Dept,OH,12,     225040,       2129,          19,         204,         840,       1066,      14085,       3367,       8675,       2043,         946.1,           8.4,          90.7,         373.3,         473.7,       6258.9,       1496.2,       3854.9,         907.8
Alameda County Sheriff Department,CA,12,,       1382,          12,          48,         221,       1101,       4266,       1241,       2433,         592,,,,,,,,,
Albemarle County Police Department,VA,12,,          83,           2,          21,          11,          49,       2043,         402,       1521,         120,,,,,,,,,
Albuquerque Police Dept,NM,12,     407286,       6696,          50,         259,       1552,       4835,      32329,       8199,      20552,       3578,       1644.1,          12.3,          63.6,         381.1,       1187.1,       7937.7,       2013.1,       5046.1,         878.5
Alexandria Police Dept,VA,12,     114850,         752,           9,          33,         376,         334,       7572,         921,       5682,         969,         654.8,           7.8,          28.7,         327.4,         290.8,       6592.9,         801.9,       4947.3,         843.7
Allentown City Police Dept,PA,12,     106899,         719,           6,          42,         324,         347,       6789,       1682,       4659,         448,         672.6,           5.6,          39.3,         303.1,         324.6,       6350.9,       1573.4,       4358.3,         419.1
Amarillo Police Dept,TX,12,     164234,       1129,          11,          89,         208,         821,      12739,       2739,       9351,         649,         687.4,           6.7,          54.2,         126.6,         499.9,       7756.6,       1667.7,       5693.7,         395.2
Amherst Town Police Dept,NY,12,     107404,         187,           1,           6,          56,         124,       2872,         346,       2210,         316,         174.1,            .9,           5.6,          52.1,         115.5,       2674.0,         322.1,       2057.7,         294.2
Anaheim Police Dept,CA,12,     276966,       1950,          33,          70,         909,         938,      16694,       3942,       9145,       3607,         704.1,          11.9,          25.3,         328.2,         338.7,       6027.5,       1423.3,       3301.8,       1302.3
Anchorage Police Dept,AK,12,     250720,       2213,          23,         212,         568,       1410,      13927,       1880,      10660,       1387,         882.7,           9.2,          84.6,         226.5,         562.4,       5554.8,         749.8,       4251.8,         553.2
Anderson County Sheriff Department,SC,12,,         940,          11,          56,         108,         765,       4582,       1632,       2629,         321,,,,,,,,,
Ann Arbor Police Dept,MI,12,     110277,,           2,,         129,         336,       5393,       1101,       4032,         260,,           1.8,,         117.0,         304.7,       4890.4,         998.4,       3656.2,         235.8
Anne Arundel County Police Department,MD,12,,       1658,          17,         110,         441,       1090,      15905,       3424,      10965,       1516,,,,,,,,,
Antioch Police Dept,CA,12,      69812,         529,           7,          21,         157,         344,       3313,         865,       2058,         390,         757.7,          10.0,          30.1,         224.9,         492.8,       4745.6,       1239.0,       2947.9,         558.6
Arlington Police Dept,TX,12,     281336,       2259,           7,         146,         710,       1396,      17943,       3977,      11514,       2452,         803.0,           2.5,          51.9,         252.4,         496.2,       6377.8,       1413.6,       4092.6,         871.6
Arlington County Police Department,VA,12,     174184,         600,           4,          37,         294,         265,       9533,         923,       7484,       1126,         344.5,           2.3,          21.2,         168.8,         152.1,       5472.9,         529.9,       4296.6,         646.4
Arvada Police Dept,CO,12,      96050,         262,           1,          19,          48,         194,       3470,         618,       2623,         229,         272.8,           1.0,          19.8,          50.0,         202.0,       3612.7,         643.4,       2730.9,         238.4
Athens-Clarke County Police Department,GA,12,      89016,         719,          13,          50,         240,         416,       6414,       1284,       4653,         477,         807.7,          14.6,          56.2,         269.6,         467.3,       7205.4,       1442.4,       5227.2,         535.9
Atlanta Police Dept,GA,12,     402877,      16281,         203,         492,       6045,       9541,      53633,      13168,      31249,       9216,       4041.2,          50.4,         122.1,       1500.5,       2368.2,      13312.5,       3268.5,       7756.5,       2287.5
Aurora Police Dept,CO,12,     246610,       4457,          19,         166,         740,       3532,      15910,       2909,      11512,       1489,       1807.3,           7.7,          67.3,         300.1,       1432.2,       6451.5,       1179.6,       4668.1,         603.8
Aurora Police Dept,IL,12,     106694,,          17,,         304,         499,       5786,       1465,       3932,         389,,          15.9,,         284.9,         467.7,       5423.0,       1373.1,       3685.3,         364.6
Austin Police Dept,TX,12,     502018,       3011,          37,         271,       1555,       1148,      48457,       8453,      35647,       4357,         599.8,           7.4,          54.0,         309.7,         228.7,       9652.4,       1683.8,       7100.7,         867.9
Alachua County Sheriff Department,FL,12,,         869,           6,          65,         154,         644,       4910,       1585,       2905,         420,,,,,,,,,
Bakersfield Police Dept,CA,12,     189908,       1871,          27,          39,         568,       1237,      13743,       3650,       8498,       1595,         985.2,          14.2,          20.5,         299.1,         651.4,       7236.7,       1922.0,       4474.8,         839.9
Baltimore City Police Dept,MD,12,     732968,      21945,         353,         668,      12376,       8548,      69975,      17901,      41451,      10623,       2994.0,          48.2,          91.1,       1688.5,       1166.2,       9546.8,       2442.3,       5655.2,       1449.3
Baltimore County Police Department,MD,12,,       7451,          36,         281,       2307,       4827,      36242,       7881,      22925,       5436,,,,,,,,,
Baton Rouge Police Dept,LA,12,     225544,       6822,          73,         177,       1867,       4705,      29705,       7543,      18156,       4006,       3024.7,          32.4,          78.5,         827.8,       2086.1,      13170.4,       3344.4,       8049.9,       1776.2
Beaufort County Sheriff Office,SC,12,,         750,           6,          40,          77,         627,       4989,       1241,       3520,         228,,,,,,,,,
Beaumont Police Dept,TX,12,     117766,       1466,          23,         200,         683,         560,      11111,       2610,       6939,       1562,       1244.8,          19.5,         169.8,         580.0,         475.5,       9434.8,       2216.3,       5892.2,       1326.4
Bellevue Police Dept,WA,12,      87491,         191,           2,          32,          74,          83,       4662,         641,       3742,         279,         218.3,           2.3,          36.6,          84.6,          94.9,       5328.5,         732.6,       4277.0,         318.9
Berkeley Police Dept,CA,12,     102156,       1631,           8,          35,         815,         773,      11459,       2383,       7915,       1161,       1596.6,           7.8,          34.3,         797.8,         756.7,      11217.2,       2332.7,       7748.0,       1136.5
Berkeley County Sheriff Office,SC,12,,         534,           6,          59,          55,         414,       3166,         900,       2046,         220,,,,,,,,,
